dialogue_id,donation_amount,donation_made,utterance_idx,speaker,utterance,intention
20180717-200206_41_live,0.5,Yes,0,ER,"Hey, how are you doing, have you ever heard of a charity called Save the Children?",Initiate conversation and introduce the topic of a charity
20180717-200206_41_live,0.5,Yes,1,EE,No I havent.,Respond to the question and indicate lack of knowledge about the charity
20180717-200206_41_live,0.5,Yes,2,EE,What is it about?,Request more information about the charity
20180717-200206_41_live,0.5,Yes,3,ER,"It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?",Provide information about the charity and gauge interest
20180717-200206_41_live,0.5,Yes,4,EE,No thank you.,Decline interest in the charity
20180717-200206_41_live,0.5,Yes,5,ER,May I ask why?,Seek reasons for the lack of interest
20180717-200206_41_live,0.5,Yes,6,ER,"Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?",Attempt to persuade by emphasizing the impact of the help
20180717-200206_41_live,0.5,Yes,7,EE,I am already making a difference in many children lives.,State current involvement in helping children
20180717-200206_41_live,0.5,Yes,8,ER,"That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?",Acknowledge the effort and suggest contributing to the specific charity
20180717-200206_41_live,0.5,Yes,9,EE,I have donated 15 years of my life to charity,Highlight past significant contributions to charity
20180717-200206_41_live,0.5,Yes,10,ER,"I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?",Clarify the request for a small monetary donation
20180717-200206_41_live,0.5,Yes,11,EE,No thank you,Decline the request again
20180717-200206_41_live,0.5,Yes,12,ER,"You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?",Attempt to persuade by suggesting the affordability of a small donation
20180719-120436_413_live,0.0,No,0,ER,Hi there,Greeting the other person
20180719-120436_413_live,0.0,No,1,EE,Hello,Responding to the greeting
20180719-120436_413_live,0.0,No,2,ER,Have you heard of the Save the Children charity?,Introducing the topic of the Save the Children charity
20180719-120436_413_live,0.0,No,3,EE,I actually have not.,Expressing lack of knowledge about the charity
20180719-120436_413_live,0.0,No,4,EE,What do they do to help children?,Inquiring about the charity's activities
20180719-120436_413_live,0.0,No,5,ER,"It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.",Providing information about the charity's mission and activities
20180719-120436_413_live,0.0,No,6,EE,I'm glad a charity like that exists internationally.,Expressing approval of the charity's existence
20180719-120436_413_live,0.0,No,7,ER,It's for a great cause.,Affirming the value of the charity's cause
20180719-120436_413_live,0.0,No,8,ER,Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.,Emphasizing the importance of helping children
20180719-120436_413_live,0.0,No,9,ER,Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.,Encouraging the idea of helping those in need
20180719-120436_413_live,0.0,No,10,ER,"Even little bits can go a long way, you know?",Highlighting that small contributions can make a difference
20180719-120436_413_live,0.0,No,11,EE,"it does, and charities can go further with the amount of money donated.",Agreeing and noting the impact of donations
20180719-120436_413_live,0.0,No,12,ER,Absolutely.,Agreeing with the previous statement
20180719-120436_413_live,0.0,No,13,ER,I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in.,Sharing a personal reaction to seeing ads about the charity
20180719-120436_413_live,0.0,No,14,ER,"I haven't personally witnessed experiences first hand, however, it comes down to basic human needs.",Clarifying that their understanding is based on general knowledge
20180719-120436_413_live,0.0,No,15,EE,It's sad to think being born in the wrong conditions can have such a lifelong impact.,Expressing sadness about the impact of being born in poor conditions
20180719-120436_413_live,0.0,No,16,ER,Exactly.,Agreeing with the sentiment expressed
20180719-122534_38_live,0.5,Yes,0,ER,It would be really helpful if you donated to Save the Children fund!,Requesting a donation to Save the Children fund
20180719-122534_38_live,0.5,Yes,1,EE,What does the money go towards if I donate?,Inquiring about the allocation of donated money
20180719-122534_38_live,0.5,Yes,2,ER,"When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.",Explaining the organization's response during crises
20180719-122534_38_live,0.5,Yes,3,ER,We ensure children's unique needs are met and their voices are heard.,Emphasizing the focus on children's needs and voices
20180719-122534_38_live,0.5,Yes,4,ER,"We deliver lasting results for millions of children, including those hardest to reach.",Highlighting the impact and reach of their efforts
20180719-122534_38_live,0.5,Yes,5,ER,We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.,Reinforcing the organization's commitment to children's futures
20180719-122534_38_live,0.5,Yes,6,EE,Where in the world are the children located?,Asking about the geographical locations of the children helped
20180719-122534_38_live,0.5,Yes,7,ER,"US and global, wherever children need help, they are there.",Clarifying that help is provided both in the US and globally
20180719-122534_38_live,0.5,Yes,8,EE,"If I donate $25, does that go a long way?",Questioning the impact of a $25 donation
20180719-122534_38_live,0.5,Yes,9,ER,"Absolutely, a small amount of money for us turns out to be life changing for those in need.",Assuring that even small donations are impactful
20180719-122534_38_live,0.5,Yes,10,ER,A dollar can buy a lot!,Emphasizing the value of a dollar in their programs
20180719-122534_38_live,0.5,Yes,11,EE,Will it help towards education?,Inquiring if donations support education
20180719-122534_38_live,0.5,Yes,12,ER,"Yes, it is one of the core programs.",Confirming that education is a core program
20180719-165941_192_live,0.0,No,0,ER,Hello,Greeting the other person
20180719-165941_192_live,0.0,No,1,EE,"Yea, hello.",Acknowledging the greeting
20180719-165941_192_live,0.0,No,2,EE,Glad you took your time.,Expressing sarcasm or frustration
20180719-165941_192_live,0.0,No,3,ER,I'd like to speak to you about Save the Children.,Introducing the topic of conversation
20180719-165941_192_live,0.0,No,4,ER,Do you have any kids?,Inquiring about the other person's personal life
20180719-165941_192_live,0.0,No,5,EE,"No, I do not have kids.",Responding to the inquiry
20180719-165941_192_live,0.0,No,6,EE,What is Save the Children about?,Asking for more information about the topic
20180719-165941_192_live,0.0,No,7,ER,Save the Children is an international non-governemnt organization.,Providing basic information about the organization
20180719-165941_192_live,0.0,No,8,ER,"Their goal is to promotes children's rights, provides relief and helps support children in developing countries.",Explaining the goals and activities of the organization
20180719-165941_192_live,0.0,No,9,EE,That sounds really cool.,Expressing interest or approval
20180719-165941_192_live,0.0,No,10,EE,What specific countries do they help out?,Asking for specific details
20180719-165941_192_live,0.0,No,11,ER,They help out many third world countries from all over the world.,Providing additional information
20180719-165941_192_live,0.0,No,12,EE,Okay.,Acknowledging the information
20180719-165941_192_live,0.0,No,13,EE,I guess I would look them up sometime to find out more.,Expressing intent to research further
20180719-165941_192_live,0.0,No,14,ER,How do you feel about those who were unluckily born to poor circumstances?,Inquiring about the other person's feelings on a related issue
20180719-165941_192_live,0.0,No,15,EE,I feel like it's a shame and I wish we could do more.,Expressing empathy and concern
20180719-165941_192_live,0.0,No,16,EE,How can I help?,Asking how they can contribute or help
20180719-165941_192_live,0.0,No,17,ER,You sound like a really kind person.,Complimenting the other person
20180719-165941_192_live,0.0,No,18,ER,Would you like to make a donation to Save the Children.,Requesting a donation
20180719-175233_833_live,0.05,Yes,0,ER,Hey there,Greeting the other person
20180719-175233_833_live,0.05,Yes,1,EE,Hey how's it going?,Responding to the greeting and inquiring about the other person's well-being
20180719-175233_833_live,0.05,Yes,2,EE,So children's charity then...,Introducing the topic of children's charity
20180719-175233_833_live,0.05,Yes,3,ER,Yep.,Confirming the topic
20180719-175233_833_live,0.05,Yes,4,ER,Do you happen to be a parent?,Inquiring about the other person's parental status
20180719-175233_833_live,0.05,Yes,5,EE,"No, not currently.",Responding to the inquiry about parental status
20180719-175233_833_live,0.05,Yes,6,EE,Although obviously I think those charities are important and relevant even to me,Expressing support for children's charities despite not being a parent
20180719-175233_833_live,0.05,Yes,7,ER,How are they relevant to you?,Asking for clarification on how the charity is relevant to the other person
20180719-175233_833_live,0.05,Yes,8,ER,"I would like to find out, so I can tailor the information to you.",Explaining the reason for the previous question
20180719-175233_833_live,0.05,Yes,9,EE,"I have a lot of nieces and nephews and have worked with children in the past so I have a good amount of experience with them, from all shapes and sizes",Providing background information on their experience with children
20180719-175233_833_live,0.05,Yes,10,ER,Have you ever worked with children with were born to poorer families?,Inquiring about experience with children from poorer families
20180719-175233_833_live,0.05,Yes,11,EE,Yes I have.,Confirming experience with children from poorer families
20180719-175233_833_live,0.05,Yes,12,EE,I dealt with that more when I was working.,Providing additional context about their work experience
20180719-175233_833_live,0.05,Yes,13,EE,It was a poorer sector of the city so we saw a lot of poorer families,Elaborating on the context of their work experience
20180719-175233_833_live,0.05,Yes,14,ER,You sound like someone who would really appreciate what Save the Children does.,Expressing appreciation for the other person's experience and aligning it with the charity's mission
20180719-175233_833_live,0.05,Yes,15,EE,Yeah?,Seeking confirmation of the alignment
20180719-175233_833_live,0.05,Yes,16,EE,I would think so?,Expressing tentative agreement
20180719-181845_211_live,0.0,No,0,ER,Hello!,Greeting the other person
20180719-181845_211_live,0.0,No,1,ER,How're you doing today?,Inquiring about the other person's well-being
20180719-181845_211_live,0.0,No,2,EE,"Hey, kind of tired but overall good.",Responding to the inquiry and sharing personal state
20180719-181845_211_live,0.0,No,3,EE,How are you?,Returning the inquiry about well-being
20180719-181845_211_live,0.0,No,4,ER,I'm doing alright.,Responding to the inquiry about well-being
20180719-181845_211_live,0.0,No,5,ER,I just had a thought on my mind that I wanted to ask you about,Introducing a topic they want to discuss
20180719-181845_211_live,0.0,No,6,EE,Yea?,Expressing interest and prompting to continue
20180719-181845_211_live,0.0,No,7,EE,Go for it.,Encouraging the other person to proceed with their topic
20180719-181845_211_live,0.0,No,8,ER,Do you donate when you get the chance?,Asking a question about the other person's donation habits
20180719-181845_211_live,0.0,No,9,ER,"I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.",Providing context and elaborating on the topic of donations
20180719-181845_211_live,0.0,No,10,ER,I think I need to actually start donating.,Expressing a personal intention to start donating
20180719-181845_211_live,0.0,No,11,ER,How does it make you feel?,Asking for the other person's feelings on the topic
20180719-181845_211_live,0.0,No,12,ER,Do you donate?,Reiterating the question about donation habits
20180719-181845_211_live,0.0,No,13,EE,I don't like to donate to for profit businesses.,Expressing a personal stance on donating to for-profit businesses
20180719-181845_211_live,0.0,No,14,EE,I feel like they'll just take my donation and get their tax credit.,Explaining the reasoning behind their stance
20180719-181845_211_live,0.0,No,15,ER,How do you feel about Save the Children?,Asking for the other person's opinion on a specific charity
20180719-181845_211_live,0.0,No,16,ER,My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.,Sharing a personal story related to the charity
20180719-181845_211_live,0.0,No,17,ER,I'm thinking about donating to them.,Expressing an intention to donate to the charity
20180719-181845_211_live,0.0,No,18,EE,I'm sorry to hear about your nephew?,Expressing sympathy for the situation
20180719-181845_211_live,0.0,No,19,EE,"What happened, if you don't mind me asking.",Inquiring further about the situation
20180719-181845_211_live,0.0,No,20,ER,We found out the hard way that he has actual celiacs (sorry I can't spell too well) and he has an allergic reaction to the cake on his birthday.,Explaining the medical condition and incident involving their nephew
20180719-181845_211_live,0.0,No,21,ER,He went through a TON of testing and that's how they caught it.,Providing additional details about the medical testing
20180719-181845_211_live,0.0,No,22,ER,He has to stay overnight at the hospital for a few weeks and his parents just couldn't afford it.,Describing the financial difficulty faced by the family
20180719-181845_211_live,0.0,No,23,ER,That's when Save the Children came around to help,Explaining how the charity helped in the situation
20180719-181845_211_live,0.0,No,24,EE,Oh my gosh.,Expressing shock and sympathy
20180719-181845_211_live,0.0,No,25,EE,"I am so sorry to hear about the little guy and how his birthday, too.",Expressing further sympathy and concern
20180719-182453_233_live,0.0,No,0,ER,Hello!,Greeting the other person
20180719-182453_233_live,0.0,No,1,EE,Hey,Responding to the greeting
20180719-182453_233_live,0.0,No,2,ER,"So, are you interested in charities that help save the children?",Inquiring about the other person's interest in a specific type of charity
20180719-182453_233_live,0.0,No,3,EE,Which children?,Seeking clarification about which children the charity helps
20180719-182453_233_live,0.0,No,4,ER,What does the charity do exactly?,Asking for more details about the charity's activities
20180719-182453_233_live,0.0,No,5,ER,"Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally",Explaining the unique approach of the charity
20180719-182453_233_live,0.0,No,6,EE,What would my money do exactly,Requesting specific information about the use of donations
20180719-182453_233_live,0.0,No,7,ER,It would go to the three most important things that a child need.,Providing information about the allocation of donations
20180719-182453_233_live,0.0,No,8,ER,"Food, shelter, and education.",Listing the primary needs addressed by the charity
20180719-182453_233_live,0.0,No,9,ER,The majority of your donation would go towards education as that is often the most difficult to provide for the children,Emphasizing the focus on education in the charity's efforts
20180719-182453_233_live,0.0,No,10,EE,How would I know that the money is actually being used to help children and not just pocketed by the people that run the c harity,Expressing concern about the transparency and accountability of the charity
20180719-204358_391_live,0.0,No,0,ER,"Hey there, glad we can talk tonight.",Initiate conversation and express gladness for the opportunity to talk
20180719-204358_391_live,0.0,No,1,EE,"Hello, same!",Reciprocate greeting and express mutual gladness
20180719-204358_391_live,0.0,No,2,ER,I'd like to talk to you about something that's very dear to me.,Introduce a topic of personal importance
20180719-204358_391_live,0.0,No,3,ER,Do you have a moment?,Inquire about the availability of the listener
20180719-204358_391_live,0.0,No,4,EE,"Yeah, totally.",Confirm availability
20180719-204358_391_live,0.0,No,5,EE,Go ahead,Encourage the speaker to proceed
20180719-204358_391_live,0.0,No,6,ER,What was it like for you growing up?,Ask about the listener's childhood experience
20180719-204358_391_live,0.0,No,7,ER,"Were your basic needs met like food, place to live, water, etc?",Inquire about the fulfillment of basic needs during the listener's childhood
20180719-204358_391_live,0.0,No,8,EE,"Well, I grew up in a wealthy house.",Provide background information about their upbringing
20180719-204358_391_live,0.0,No,9,EE,My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more,Elaborate on the parents' educational background and financial stability
20180719-204358_391_live,0.0,No,10,ER,You are very lucky.,Express acknowledgment of the listener's fortunate circumstances
20180719-204358_391_live,0.0,No,11,ER,I wish all kids could have that kind of opportunity.,Express a wish for equal opportunities for all children
20180719-204358_391_live,0.0,No,12,EE,"So do I, I feel kind of guilty to being able to have all that and they are kids out there who don't have not a single one of all of those basic things",Express feelings of guilt about their privileged upbringing
20180719-204358_391_live,0.0,No,13,ER,No need to feel guilty.,Reassure the listener that guilt is unnecessary
20180719-204358_391_live,0.0,No,14,ER,People don't have a choice of who or where they are born to.,Explain that people cannot choose their birth circumstances
20180719-204358_391_live,0.0,No,15,ER,"Those of us who got lucky, can always lend a hand in our own ways.",Suggest that the fortunate can help others
20180719-204358_391_live,0.0,No,16,ER,What do you think?,Seek the listener's opinion on helping others
20180719-211253_768_live,0.5,Yes,0,ER,"Hey, good to be chatting with you tonight.",Initiate conversation
20180719-211253_768_live,0.5,Yes,1,EE,Hi!,Respond to greeting
20180719-211253_768_live,0.5,Yes,2,EE,Looking forward chatting with you too.,Express enthusiasm for conversation
20180719-211253_768_live,0.5,Yes,3,ER,I'd like to talk to use about a vulnerable group.,Introduce topic of discussion
20180719-211253_768_live,0.5,Yes,4,ER,Do you have a moment?,Seek confirmation of availability
20180719-211253_768_live,0.5,Yes,5,EE,"Yes, I do",Confirm availability
20180719-211253_768_live,0.5,Yes,6,ER,I'd like to talk about children.,Specify topic of discussion
20180719-211253_768_live,0.5,Yes,7,ER,What was life like for you growing up?,Inquire about personal history
20180719-211253_768_live,0.5,Yes,8,ER,Did you have to worry about your basic needs at all?,Probe for specific details about basic needs
20180719-211253_768_live,0.5,Yes,9,ER,"Like food, place to live, safety, etc?",Clarify previous question
20180719-211253_768_live,0.5,Yes,10,EE,"There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.",Share personal experience
20180719-211253_768_live,0.5,Yes,11,ER,It is really difficult having to grow up having to worry about basic needs.,Express empathy
20180719-211253_768_live,0.5,Yes,12,ER,I'm glad you are able to look for what to be grateful for.,Acknowledge positive outlook
20180719-211253_768_live,0.5,Yes,13,EE,What was life like for you growing up?,Reciprocate question
20180719-211253_768_live,0.5,Yes,14,EE,"Did you have any worries about food, shelter, safety, etc.?",Seek details about personal history
20180719-211253_768_live,0.5,Yes,15,ER,I guess there are more people than we know who grew up with no worries.,Reflect on common experiences
20180719-211253_768_live,0.5,Yes,16,ER,I grew up worrying about my safety and whether I'd have a place to live.,Share personal experience
20180719-211253_768_live,0.5,Yes,17,ER,My dad was a gambling addict.,Provide additional context
20180719-211253_768_live,0.5,Yes,18,EE,I don't have any experiences like that but I'm sure it must have been very difficult and scary to go through that as a child.,Express empathy and understanding
20180719-211253_768_live,0.5,Yes,19,ER,Thank you.,Express gratitude
20180719-211253_768_live,0.5,Yes,20,ER,"I really appreciate your sympathizing, and I'm glad I got to share that with someone.",Acknowledge empathy and express relief
20180719-211253_768_live,0.5,Yes,21,EE,Did you ever use the services of any organizations for children to help you through the rough times?,Inquire about use of support services
20180719-211253_768_live,0.5,Yes,22,ER,"No I didn't, but I now donate to them.",Respond to inquiry and share current actions
20180719-211301_463_live,0.0,No,0,ER,Have you heard of the Save The Children Foundation?,To introduce the topic of the Save The Children Foundation
